"transcription","cost_threshold","train","validate","recall","precision"
"s_2-s_7-s_0-s_pt",2.366921400875734,1,0,1.0,1.0
"l-e-t-t-e-r-s-s_cm",4.180964513961191,9,1,0.2222222222222222,1.0
"o-r-d-e-r-s",5.886101293833973,15,6,0.26666666666666666,1.0
"a-n-d",2.3962673589881365,63,34,0.12698412698412698,0.6666666666666666
"i-n-s-t-r-u-c-t-i-o-n-s-s_pt",13.957243296859417,11,4,0.36363636363636365,0.8
"o-c-t-o-b-e-r",6.13042914584753,15,0,0.13333333333333333,0.6666666666666666
"s_1-s_7-s_5-s_5-s_pt",2.8260175529032248,12,7,0.08333333333333333,1.0
"o-n-l-y",1.4106748718695246,4,0,0.25,1.0
"f-o-r",1.1721230326636334,37,17,0.02702702702702703,1.0
"t-h-e",1.1118654346289767,129,61,0.031007751937984496,0.6666666666666666
"p-u-b-l-i-c-k",3.5323390133427734,1,0,1.0,1.0
"u-s-e-s_cm",1,1,0,1.0,0.05
"u-n-l-e-s_s-s",4.302693748059077,3,0,0.3333333333333333,1.0
"b-y",1.3248041919428597,13,3,0.07692307692307693,1.0
"p-a-r-t-i-c-u-s_mi",2.7473552012536406,1,0,1.0,1.0
"l-a-r",1.4309368858528573,1,0,1.0,1.0
"f-r-o-m",3.0432976531123743,16,5,0.1875,0.75
"m-e-s_pt",1.637490161838599,3,0,0.3333333333333333,1.0
"y-o-u",1.5407951138338754,70,8,0.05714285714285714,1.0
"a-r-e",0.9741367409238293,57,11,0.05263157894736842,0.75
"t-o",1.0930148243165099,139,51,0.007194244604316547,1.0
"s-e-n-d",7.312391812205459,3,2,0.3333333333333333,1.0
"d-o-w-n",3.3724985366595934,3,1,0.3333333333333333,1.0
"a",0.9167805396237811,15,11,0.13333333333333333,1.0
"b-a-r-r-e-l",7.448336420813632,1,0,1.0,1.0
"o-f",1.7263035301741512,64,31,0.71875,0.7540983606557377
"f-l-i-n-t-s",6.038383352448137,1,0,1.0,1.0
"w-i-t-h",2.1571620386995343,26,17,0.038461538461538464,1.0
"a-r-m-s-s_cm",4.096931048854161,2,2,0.5,1.0
"w-i-n-c-h-e-s-t-e-r-s_cm",9.206571053761433,3,0,0.3333333333333333,1.0
"a-b-o-u-t",5.184052879135016,3,1,0.6666666666666666,0.6666666666666666
